id,transliteration,translation
587,1 GÍN URUDU dam-qám i-na wa-ah-šu-ša-na a-na A-šur-na-da áš-qúl,I paid 1 shekel of fine copper to Ashur-nada in Wahshushana.
588,5 GÍN ŠE i-na <gap> a-na Pú-zur4-A-šur áš-qúl,I paid 5 shekels of grain to Puzur-Ashur in <gap>.
589,ki-ma um-mì-a me-tù-ni A-šur-na-da URUDU dam-qám i-ki-mu-ni,"When my mother died, Ashur-nada deprived me of the fine copper."
590,a-šu-um URUDU dam-qám ša um-mì-a a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that my mother sent to Hahhum, I have heard about it here."
591,a-šu-um AN.NA ša ru-ba-im a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that king sent to Wahshushana, I have heard about it here."
592,um-ma a-ha-tí-kà-ma a-na Pú-zur4-A-šur qí-bi-ma,Thus says your sister: Speak to Puzur-Ashur:
593,ṭup-pám ša a-ha-tí-kà a-mur-ma AN.NA šé-bi-lam,Examine the tablet of your sister and send the tin.
594,a-šu-um KÙ.GI ša ma-ṣa-ru a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that guards sent to the City, I have heard about it here."
595,a-šu-um ŠE ša DAM.GÀR a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that merchant sent to Kanesh, I have heard about it here."
596,um-ma kà-ru-um É DAM.GÀR-ma a-na ši-ip-ri-ni qí-bi-ma,Thus says the merchant's house colony: Speak to our messenger:
597,ki-ma a-hu-a me-tù-ni a-ha-tí-kà ṭup-pám i-ki-mu-ni,"When my brother died, your sister deprived me of the tablet."
598,um-ma a-bi-a-ma a-na a-ha-tí-kà qí-bi-ma,Thus says my father: Speak to your sister:
599,1 ma-na TÚG.HI.A a-na ma-ṣa-ru di-in-ma šé-bi-lam,Give 1 mina of textiles to the guards and send it to me.
600,ṭup-pám ša a-ha-tí-kà a-mur-ma TÚG.HI.A šé-bi-lam,Examine the tablet of your sister and send the textiles.
601,iš-tù ha-hi-im a-na É.GAL-lim a-li-ik-ma kà-ni-kám ba-qí-ir,Go from Hahhum to the palace and claim the sealed document.
602,iš-tù kà-ri-im a-na a-lim(ki) a-li-ik-ma AN.NA ba-qí-ir,Go from the colony to the City and claim the tin.
603,1 ma-na ŠE a-na A-šur-na-da di-in-ma šé-bi-lam,Give 1 mina of grain to Ashur-nada and send it to me.
604,iš-tù bu-ru-uš-ha-tum a-na kà-ri-im a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Burushhattum to the colony and claim the fine copper.
605,ki-ma a-hu-a me-tù-ni ma-ṣa-ru kà-ni-kám i-ki-mu-ni,"When my brother died, the guards deprived me of the sealed document."
606,um-ma kà-ru-um wa-ah-šu-ša-na-ma a-na da-a-a-nu-um qí-bi-ma,Thus says the Wahshushana colony: Speak to the judge:
607,a-na um-mì-a šu-a-tí lá ta-ta-kà-al KÙ.BABBAR i-kà-al,"Do not trust that my mother, he will embezzle the silver."
608,iš-tù bu-ru-uš-ha-tum a-na a-lim(ki) a-li-ik-ma <gap> ba-qí-ir,Go from Burushhattum to the City and claim the <gap>.
609,a-šu-um kà-ni-kám ša ru-ba-im a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that king sent to the palace, I have heard about it here."
610,1 GÍN lu-qú-tám a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give 1 shekel of merchandise to Puzur-Ashur and send it to me.
611,a-na <gap> qí-bi-ma um-ma a-bi-a-ma,Speak to <gap>: thus says my father.
612,ṭup-pám ša a-hu-a a-mur-ma lu-qú-tám šé-bi-lam,Examine the tablet of my brother and send the merchandise.
613,um-ma kà-ru-um kà-ni-iš-ma a-na a-hu-a qí-bi-ma,Thus says the Kanesh colony: Speak to my brother:
614,ṭup-pám ša a-wi-lim a-mur-ma TÚG.HI.A šé-bi-lam,Examine the tablet of the boss and send the textiles.
615,iš-tù a-lim(ki) a-na bu-ru-uš-ha-tum a-li-ik-ma KÙ.BABBAR ba-qí-ir,Go from the City to Burushhattum and claim the silver.
616,5 GÍN URUDU dam-qám i-na <gap> a-na a-ha-tí-kà áš-qúl,I paid 5 shekels of fine copper to your sister in <gap>.
617,<gap> kà-ni-kám i-na É.GAL-lim a-na ši-ip-ri-ni áš-qúl,I paid <gap> of the sealed document to our messenger in the palace.
618,ki-ma ru-ba-im me-tù-ni a-hu-a lu-qú-tám i-ki-mu-ni,"When the king died, my brother deprived me of the merchandise."
619,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma ru-ba-im ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and the king will take the deduction-taxes."
620,um-ma a-bi-a-ma a-na wa-ar-di-ni qí-bi-ma,Thus says my father: Speak to our slave:
621,ki-ma ru-ba-im me-tù-ni ši-ip-ri-ni lu-qú-tám i-ki-mu-ni,"When the king died, our messenger deprived me of the merchandise."
622,šu-ma a-bi-a kà-ni-kám lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If my father does not send the sealed document to me, I will write to the colony."
623,a-šu-um ṭup-pám ša ma-ṣa-ru a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that guards sent to the colony, I have heard about it here."
624,šu-ma ma-ṣa-ru KÙ.BABBAR lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If the guards does not send the silver to me, I will write to Burushhattum."
625,<gap> kà-ni-kám a-na ru-ba-im di-in-ma šé-bi-lam,Give <gap> of the sealed document to the king and send it to me.
626,ṭup-pám ša a-bi-a a-mur-ma URUDU dam-qám šé-bi-lam,Examine the tablet of my father and send the fine copper.
627,a-šu-um TÚG.HI.A ša wa-ar-di-ni a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that our slave sent to the merchant's house, I have heard about it here."
628,a-na ru-ba-im šu-a-tí lá ta-ta-kà-al KÙ.BABBAR i-kà-al,"Do not trust that king, he will embezzle the silver."
629,ki-ma DAM.GÀR me-tù-ni Pú-zur4-A-šur KÙ.BABBAR i-ki-mu-ni,"When the merchant died, Puzur-Ashur deprived me of the silver."
630,a-šu-um ŠE ša <gap> a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that <gap> sent to the colony, I have heard about it here."
631,ki-ma ši-ip-ri-ni me-tù-ni wa-ar-di-ni ŠE i-ki-mu-ni,"When our messenger died, our slave deprived me of the grain."
632,a-šu-um URUDU dam-qám ša Pú-zur4-A-šur a-na <gap> u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that Puzur-Ashur sent to <gap>, I have heard about it here."
633,iš-tù kà-ni-iš a-na kà-ri-im a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Kanesh to the colony and claim the fine copper.
634,um-ma da-a-a-nu-um-ma a-na wa-ar-di-ni qí-bi-ma,Thus says the judge: Speak to our slave:
635,iš-tù wa-ah-šu-ša-na a-na kà-ni-iš a-li-ik-ma KÙ.BABBAR ba-qí-ir,Go from Wahshushana to Kanesh and claim the silver.
636,a-na a-ha-tí-kà šu-a-tí lá ta-ta-kà-al lu-qú-tám i-kà-al,"Do not trust that your sister, he will embezzle the merchandise."
637,1 me-at TÚG.HI.A a-na ma-ṣa-ru di-in-ma šé-bi-lam,Give 100 units of textiles to the guards and send it to me.
638,a-šu-um ṭup-pám ša a-bi-a a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that my father sent to the palace, I have heard about it here."
639,10 ma-na TÚG.HI.A a-na um-mì-a di-in-ma šé-bi-lam,Give 10 minas of textiles to my mother and send it to me.
640,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma a-ha-tí-kà ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and your sister will take the deduction-taxes."
641,5 GÍN lu-qú-tám a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 5 shekels of merchandise to our messenger and send it to me.
642,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma A-šur-na-da ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and Ashur-nada will take the deduction-taxes."
643,iš-tù <gap> a-na wa-ah-šu-ša-na a-li-ik-ma lu-qú-tám ba-qí-ir,Go from <gap> to Wahshushana and claim the merchandise.
644,1 GÍN ṭup-pám a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 1 shekel of the tablet to our messenger and send it to me.
645,a-na wa-ar-di-ni qí-bi-ma um-ma Pú-zur4-A-šur-ma,Speak to our slave: thus says Puzur-Ashur.
646,iš-tù kà-ni-iš a-na É.GAL-lim a-li-ik-ma kà-ni-kám ba-qí-ir,Go from Kanesh to the palace and claim the sealed document.
647,1/3 ma-na <gap> a-na ru-ba-im di-in-ma šé-bi-lam,Give one-third of a mina of <gap> to the king and send it to me.
648,ṭup-pám ša ma-ṣa-ru a-mur-ma URUDU dam-qám šé-bi-lam,Examine the tablet of the guards and send the fine copper.
649,a-šu-um lu-qú-tám ša DAM.GÀR a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that merchant sent to the merchant's house, I have heard about it here."
650,lu-qú-tum a-na wa-ah-šu-ša-na e-ru-ub-ma a-wi-lim ni-is-ha-tum i-lá-qé,"The merchandise entered Wahshushana, and the boss will take the deduction-taxes."
651,5 GÍN ŠE a-na um-mì-a di-in-ma šé-bi-lam,Give 5 shekels of grain to my mother and send it to me.
652,um-ma <gap>-ma a-na ma-ṣa-ru qí-bi-ma,Thus says <gap>: Speak to the guards:
653,um-ma ši-ip-ri-ni-ma a-na DAM.GÀR ú ru-ba-im qí-bi-ma,Thus says our messenger: Speak to the merchant and the king:
654,1 me-at TÚG.HI.A i-na É.GAL-lim a-na DAM.GÀR áš-qúl,I paid 100 units of textiles to the merchant in the palace.
655,2 bi-lá-tim AN.NA i-na ha-hi-im a-na um-mì-a áš-qúl,I paid 2 talents of tin to my mother in Hahhum.
656,šu-ma ši-ip-ri-ni URUDU dam-qám lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If our messenger does not send the fine copper to me, I will write to the merchant's house."
657,a-na A-šur-na-da qí-bi-ma um-ma a-hu-a-ma,Speak to Ashur-nada: thus says my brother.
658,a-šu-um ṭup-pám ša um-mì-a a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that my mother sent to Kanesh, I have heard about it here."
659,1 GÍN URUDU dam-qám a-na a-hu-a di-in-ma šé-bi-lam,Give 1 shekel of fine copper to my brother and send it to me.
660,lu-qú-tum a-na kà-ri-im e-ru-ub-ma a-bi-a ni-is-ha-tum i-lá-qé,"The merchandise entered the colony, and my father will take the deduction-taxes."
661,ki-ma wa-ar-di-ni me-tù-ni a-ha-tí-kà URUDU dam-qám i-ki-mu-ni,"When our slave died, your sister deprived me of the fine copper."
662,a-šu-um URUDU dam-qám ša ši-ip-ri-ni a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that our messenger sent to the City, I have heard about it here."
663,1/3 ma-na ṭup-pám a-na um-mì-a di-in-ma šé-bi-lam,Give one-third of a mina of the tablet to my mother and send it to me.
664,um-ma A-šur-na-da-ma a-na a-wi-lim qí-bi-ma,Thus says Ashur-nada: Speak to the boss:
665,um-ma wa-ar-di-ni-ma a-na um-mì-a ú a-hu-a qí-bi-ma,Thus says our slave: Speak to my mother and my brother:
666,1/3 ma-na KÙ.GI i-na É DAM.GÀR a-na a-wi-lim áš-qúl,I paid one-third of a mina of gold to the boss in the merchant's house.
667,10 ma-na kà-ni-kám i-na É.GAL-lim a-na um-mì-a áš-qúl,I paid 10 minas of the sealed document to my mother in the palace.
668,1 ma-na URUDU dam-qám i-na a-lim(ki) a-na ši-ip-ri-ni áš-qúl,I paid 1 mina of fine copper to our messenger in the City.
669,um-ma kà-ru-um kà-ni-iš-ma a-na ru-ba-im qí-bi-ma,Thus says the Kanesh colony: Speak to the king:
670,a-šu-um KÙ.GI ša wa-ar-di-ni a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that our slave sent to Wahshushana, I have heard about it here."
671,iš-tù kà-ni-iš a-na a-lim(ki) a-li-ik-ma lu-qú-tám ba-qí-ir,Go from Kanesh to the City and claim the merchandise.
672,2 bi-lá-tim AN.NA a-na DAM.GÀR di-in-ma šé-bi-lam,Give 2 talents of tin to the merchant and send it to me.
673,a-šu-um TÚG.HI.A ša ma-ṣa-ru a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that guards sent to Burushhattum, I have heard about it here."
674,a-šu-um <gap> ša um-mì-a a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the <gap> that my mother sent to Kanesh, I have heard about it here."
675,ṭup-pám ša a-bi-a a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of my father and send the sealed document.
676,5 GÍN lu-qú-tám i-na bu-ru-uš-ha-tum a-na a-wi-lim áš-qúl,I paid 5 shekels of merchandise to the boss in Burushhattum.
677,ṭup-pám ša a-hu-a a-mur-ma <gap> šé-bi-lam,Examine the tablet of my brother and send the <gap>.
678,um-ma Pú-zur4-A-šur-ma a-na a-bi-a qí-bi-ma,Thus says Puzur-Ashur: Speak to my father:
679,lu-qú-tum a-na ha-hi-im e-ru-ub-ma ma-ṣa-ru ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and the guards will take the deduction-taxes."
680,1 me-at lu-qú-tám a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 100 units of merchandise to our messenger and send it to me.
681,iš-tù É DAM.GÀR a-na wa-ah-šu-ša-na a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from the merchant's house to Wahshushana and claim the fine copper.
682,a-šu-um URUDU dam-qám ša Pú-zur4-A-šur a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that Puzur-Ashur sent to the merchant's house, I have heard about it here."
683,um-ma DAM.GÀR-ma a-na um-mì-a ú a-hu-a qí-bi-ma,Thus says the merchant: Speak to my mother and my brother:
684,2 bi-lá-tim KÙ.GI i-na a-lim(ki) a-na <gap> áš-qúl,I paid 2 talents of gold to <gap> in the City.
685,ṭup-pám ša A-šur-na-da a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of Ashur-nada and send the silver.
686,šu-ma Pú-zur4-A-šur kà-ni-kám lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If Puzur-Ashur does not send the sealed document to me, I will write to Kanesh."
687,ṭup-pám ša da-a-a-nu-um a-mur-ma ṭup-pám šé-bi-lam,Examine the tablet of the judge and send the tablet.
688,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma ši-ip-ri-ni ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and our messenger will take the deduction-taxes."
689,šu-ma da-a-a-nu-um ṭup-pám lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If the judge does not send the tablet to me, I will write to Burushhattum."
690,um-ma a-hu-a-ma a-na um-mì-a qí-bi-ma,Thus says my brother: Speak to my mother:
691,a-šu-um KÙ.GI ša um-mì-a a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that my mother sent to the palace, I have heard about it here."
692,1/3 ma-na lu-qú-tám i-na bu-ru-uš-ha-tum a-na ši-ip-ri-ni áš-qúl,I paid one-third of a mina of merchandise to our messenger in Burushhattum.
693,a-šu-um ṭup-pám ša ru-ba-im a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that king sent to the colony, I have heard about it here."
694,um-ma kà-ru-um a-lim(ki)-ma a-na wa-ar-di-ni qí-bi-ma,Thus says the City colony: Speak to our slave:
695,a-na A-šur-na-da šu-a-tí lá ta-ta-kà-al URUDU dam-qám i-kà-al,"Do not trust that Ashur-nada, he will embezzle the fine copper."
696,1 ma-na URUDU dam-qám i-na É.GAL-lim a-na ma-ṣa-ru áš-qúl,I paid 1 mina of fine copper to the guards in the palace.
697,a-na a-ha-tí-kà šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that your sister, he will embezzle the grain."
698,iš-tù É.GAL-lim a-na É DAM.GÀR a-li-ik-ma KÙ.GI ba-qí-ir,Go from the palace to the merchant's house and claim the gold.
699,a-šu-um ŠE ša wa-ar-di-ni a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that our slave sent to Wahshushana, I have heard about it here."
700,a-na DAM.GÀR šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that merchant, he will embezzle the gold."
701,um-ma kà-ru-um É DAM.GÀR-ma a-na da-a-a-nu-um qí-bi-ma,Thus says the merchant's house colony: Speak to the judge:
702,a-na da-a-a-nu-um šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that judge, he will embezzle the grain."
703,a-na <gap> šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that king, he will embezzle the gold."
704,a-na a-wi-lim qí-bi-ma um-ma wa-ar-di-ni-ma,Speak to the boss: thus says our slave.
705,lu-qú-tum a-na ha-hi-im e-ru-ub-ma da-a-a-nu-um ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and the judge will take the deduction-taxes."
706,a-na a-ha-tí-kà qí-bi-ma um-ma ši-ip-ri-ni-ma,Speak to your sister: thus says our messenger.
707,šu-ma <gap> KÙ.BABBAR lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If <gap> does not send the silver to me, I will write to Kanesh."
708,šu-ma da-a-a-nu-um KÙ.GI lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If the judge does not send the gold to me, I will write to Wahshushana."
709,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma ru-ba-im ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and the king will take the deduction-taxes."
710,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma <gap> ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and <gap> will take the deduction-taxes."
711,1 ma-na URUDU dam-qám i-na É DAM.GÀR a-na a-wi-lim áš-qúl,I paid 1 mina of fine copper to the boss in the merchant's house.
712,um-ma kà-ru-um a-lim(ki)-ma a-na da-a-a-nu-um qí-bi-ma,Thus says the City colony: Speak to the judge:
713,um-ma a-hu-a-ma a-na ši-ip-ri-ni qí-bi-ma,Thus says my brother: Speak to our messenger:
714,ki-ma um-mì-a me-tù-ni da-a-a-nu-um kà-ni-kám i-ki-mu-ni,"When my mother died, the judge deprived me of the sealed document."
715,a-na da-a-a-nu-um qí-bi-ma um-ma wa-ar-di-ni-ma,Speak to the judge: thus says our slave.
716,5 GÍN lu-qú-tám i-na kà-ri-im a-na um-mì-a áš-qúl,I paid 5 shekels of merchandise to my mother in the colony.
717,1 GÍN ṭup-pám i-na bu-ru-uš-ha-tum a-na <gap> áš-qúl,I paid 1 shekel of the tablet to <gap> in Burushhattum.
718,um-ma Pú-zur4-A-šur-ma a-na a-hu-a ú da-a-a-nu-um qí-bi-ma,Thus says Puzur-Ashur: Speak to my brother and the judge:
719,a-šu-um ŠE ša a-bi-a a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that my father sent to Wahshushana, I have heard about it here."
720,5 GÍN KÙ.BABBAR i-na wa-ah-šu-ša-na a-na a-hu-a áš-qúl,I paid 5 shekels of silver to my brother in Wahshushana.
721,um-ma ši-ip-ri-ni-ma a-na ru-ba-im qí-bi-ma,Thus says our messenger: Speak to the king:
722,a-na ru-ba-im šu-a-tí lá ta-ta-kà-al kà-ni-kám i-kà-al,"Do not trust that king, he will embezzle the sealed document."
723,ki-ma A-šur-na-da me-tù-ni ši-ip-ri-ni <gap> i-ki-mu-ni,"When Ashur-nada died, our messenger deprived me of the <gap>."
724,10 ma-na ŠE i-na <gap> a-na a-bi-a áš-qúl,I paid 10 minas of grain to my father in <gap>.
725,um-ma Pú-zur4-A-šur-ma a-na DAM.GÀR ú a-wi-lim qí-bi-ma,Thus says Puzur-Ashur: Speak to the merchant and the boss:
726,šu-ma ru-ba-im URUDU dam-qám lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If the king does not send the fine copper to me, I will write to Burushhattum."
727,a-hu-a me-et ú ni-kà-sú-šu sà-ah-ú,"My brother is dead, and his accounts are in a mess."
728,um-ma kà-ru-um É.GAL-lim-ma a-na ma-ṣa-ru qí-bi-ma,Thus says the palace colony: Speak to the guards:
729,1/3 ma-na TÚG.HI.A i-na a-lim(ki) a-na DAM.GÀR áš-qúl,I paid one-third of a mina of textiles to the merchant in the City.
730,um-ma a-hu-a-ma a-na a-bi-a ú A-šur-na-da qí-bi-ma,Thus says my brother: Speak to my father and Ashur-nada:
731,ṭup-pám ša ši-ip-ri-ni a-mur-ma ṭup-pám šé-bi-lam,Examine the tablet of our messenger and send the tablet.
732,iš-tù É.GAL-lim a-na bu-ru-uš-ha-tum a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the palace to Burushhattum and claim the textiles.
733,10 ma-na TÚG.HI.A i-na a-lim(ki) a-na ru-ba-im áš-qúl,I paid 10 minas of textiles to the king in the City.
734,šu-ma ma-ṣa-ru TÚG.HI.A lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If the guards does not send the textiles to me, I will write to Burushhattum."
735,um-ma a-bi-a-ma a-na ma-ṣa-ru ú wa-ar-di-ni qí-bi-ma,Thus says my father: Speak to the guards and our slave:
736,a-na Pú-zur4-A-šur qí-bi-ma um-ma um-mì-a-ma,Speak to Puzur-Ashur: thus says my mother.
737,iš-tù É.GAL-lim a-na É DAM.GÀR a-li-ik-ma ŠE ba-qí-ir,Go from the palace to the merchant's house and claim the grain.
738,<gap> TÚG.HI.A a-na a-hu-a di-in-ma šé-bi-lam,Give <gap> of textiles to my brother and send it to me.
739,a-na A-šur-na-da šu-a-tí lá ta-ta-kà-al lu-qú-tám i-kà-al,"Do not trust that Ashur-nada, he will embezzle the merchandise."
740,ki-ma a-hu-a me-tù-ni a-wi-lim <gap> i-ki-mu-ni,"When my brother died, the boss deprived me of the <gap>."
741,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma ši-ip-ri-ni ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and our messenger will take the deduction-taxes."
742,šu-ma ši-ip-ri-ni lu-qú-tám lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If our messenger does not send the merchandise to me, I will write to Burushhattum."
743,a-na a-ha-tí-kà šu-a-tí lá ta-ta-kà-al <gap> i-kà-al,"Do not trust that your sister, he will embezzle the <gap>."
744,um-ma um-mì-a-ma a-na a-hu-a ú a-hu-a qí-bi-ma,Thus says my mother: Speak to my brother and my brother:
745,a-na a-bi-a šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that my father, he will embezzle the gold."
746,um-ma <gap>-ma a-na ru-ba-im qí-bi-ma,Thus says <gap>: Speak to the king:
747,a-šu-um TÚG.HI.A ša a-ha-tí-kà a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that your sister sent to Hahhum, I have heard about it here."
748,iš-tù a-lim(ki) a-na bu-ru-uš-ha-tum a-li-ik-ma KÙ.GI ba-qí-ir,Go from the City to Burushhattum and claim the gold.
749,1/3 ma-na ṭup-pám a-na DAM.GÀR di-in-ma šé-bi-lam,Give one-third of a mina of the tablet to the merchant and send it to me.
750,ki-ma ru-ba-im me-tù-ni wa-ar-di-ni <gap> i-ki-mu-ni,"When the king died, our slave deprived me of the <gap>."
751,iš-tù a-lim(ki) a-na kà-ni-iš a-li-ik-ma AN.NA ba-qí-ir,Go from the City to Kanesh and claim the tin.
752,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma a-ha-tí-kà ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and your sister will take the deduction-taxes."
753,2 bi-lá-tim ṭup-pám i-na wa-ah-šu-ša-na a-na Pú-zur4-A-šur áš-qúl,I paid 2 talents of the tablet to Puzur-Ashur in Wahshushana.
754,1 GÍN TÚG.HI.A i-na É DAM.GÀR a-na a-wi-lim áš-qúl,I paid 1 shekel of textiles to the boss in the merchant's house.
755,a-šu-um ṭup-pám ša wa-ar-di-ni a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that our slave sent to Kanesh, I have heard about it here."
756,a-šu-um ṭup-pám ša <gap> a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that <gap> sent to Kanesh, I have heard about it here."
757,a-na a-hu-a qí-bi-ma um-ma a-ha-tí-kà-ma,Speak to my brother: thus says your sister.
758,1/3 ma-na kà-ni-kám i-na É DAM.GÀR a-na ma-ṣa-ru áš-qúl,I paid one-third of a mina of the sealed document to the guards in the merchant's house.
759,ki-ma wa-ar-di-ni me-tù-ni DAM.GÀR KÙ.GI i-ki-mu-ni,"When our slave died, the merchant deprived me of the gold."
760,šu-ma a-bi-a AN.NA lá u-šé-bi-lam a-na É.GAL-lim a-ša-par,"If my father does not send the tin to me, I will write to the palace."
761,a-šu-um URUDU dam-qám ša wa-ar-di-ni a-na <gap> u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that our slave sent to <gap>, I have heard about it here."
762,1 ma-na ṭup-pám i-na a-lim(ki) a-na a-wi-lim áš-qúl,I paid 1 mina of the tablet to the boss in the City.
763,um-ma Pú-zur4-A-šur-ma a-na DAM.GÀR qí-bi-ma,Thus says Puzur-Ashur: Speak to the merchant:
764,šu-ma a-wi-lim KÙ.BABBAR lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If the boss does not send the silver to me, I will write to Kanesh."
765,šu-ma ši-ip-ri-ni ṭup-pám lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If our messenger does not send the tablet to me, I will write to the merchant's house."
766,a-šu-um lu-qú-tám ša da-a-a-nu-um a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that judge sent to the colony, I have heard about it here."
767,a-na Pú-zur4-A-šur šu-a-tí lá ta-ta-kà-al AN.NA i-kà-al,"Do not trust that Puzur-Ashur, he will embezzle the tin."
768,ki-ma Pú-zur4-A-šur me-tù-ni a-ha-tí-kà kà-ni-kám i-ki-mu-ni,"When Puzur-Ashur died, your sister deprived me of the sealed document."
769,a-šu-um <gap> ša um-mì-a a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the <gap> that my mother sent to Hahhum, I have heard about it here."
770,2 bi-lá-tim ŠE a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give 2 talents of grain to Puzur-Ashur and send it to me.
771,a-na a-hu-a qí-bi-ma um-ma da-a-a-nu-um-ma,Speak to my brother: thus says the judge.
772,ki-ma a-ha-tí-kà me-tù-ni a-bi-a KÙ.GI i-ki-mu-ni,"When your sister died, my father deprived me of the gold."
773,1 me-at KÙ.BABBAR i-na bu-ru-uš-ha-tum a-na wa-ar-di-ni áš-qúl,I paid 100 units of silver to our slave in Burushhattum.
774,a-na DAM.GÀR šu-a-tí lá ta-ta-kà-al KÙ.BABBAR i-kà-al,"Do not trust that merchant, he will embezzle the silver."
775,um-ma a-wi-lim-ma a-na a-bi-a qí-bi-ma,Thus says the boss: Speak to my father:
776,10 ma-na AN.NA i-na ha-hi-im a-na A-šur-na-da áš-qúl,I paid 10 minas of tin to Ashur-nada in Hahhum.
777,ki-ma A-šur-na-da me-tù-ni a-hu-a ṭup-pám i-ki-mu-ni,"When Ashur-nada died, my brother deprived me of the tablet."
