oa,english
"iš-tù a-lim i-tù-a-ri-šu i-ša-qal","He will pay when he returns from the City."
"IGI Šu-Ištar","In the presence of Šu-Ištar."
"KIŠIB Puzur4-E[N.ZU] KIŠIB Šu-Bé-lim KIŠI[B x x x]","Seal of Puzur-Suen, seal of Šu-Bēlum, seal of <gap>."
"1 GÚ LÁ 10 ma-na URU[DU i]-ṣé-er Puzur4-EN.ZU E-lá-ma i-šu","50 minas of copper Puzur-Suen owes to Elamma."
"i-na ad-ri-im i-ša-qal URUDU Ta-pá-ša-ta-[i]-am za-ak-wa-am","At the time of the threshing he will weigh out pure copper of Tappašatta."
"šu-ma i-na ú-me-šu lá iš-qú-ul ki-ma a-wa-at kà-ri-im Du-ur-hu-mì-it ṣí-ib-ta-am ú-ṣa-áb","If he does not pay when his term is up, he will add interest in accordance with the rule of the Durhumit colony."
"10 GÍN KÙ.B. a-ha-ma i-na ku-bu-ur ú-ṭí-tí-im i-na Kà-ni-iš i-ša-qal","Separately he will pay 10 shekels of silver in Kanesh, when the barley is ripe."
"šu-ma lá iš-qú-ul i-Du-ur-hu-mì-it i-ṣé-ri-šu a-lá-qé","If he does not pay I will collect it in Durhumit for his account."
"1 ma-na 7½ GÍN KÙ.B. ṣa-ru-pá-am i-ṣé-er A-mur-Ištar DUMU Da-da E-la-ma i-šu","1 mina 7½ shekels of refined silver Āmur-Ištar, son of Dada, owes to Elamma."
"iš-tù ha-muš-tim ša A-la-hi-im ú MAR.TU-ba-ni a-na 11 ha-am-ša-tim i-ša-qal","From the week of Ali-ahum and Amurrum-bāni he will pay in 11 weeks;"
"šu-ma lá iš-qú-ul 1½ GÍN.TA ṣí-ib-tám a-na ma-na-im i-na ITU.1.KAM ú-ṣa-áb","if he does not pay he will add 1½ shekel as interest per mina per month."
"ITU.KAM ša sà-ra-tim li-mu-um ša qá-té DINGIR-šu-GAL DUMU Ba-zi-a","Month II, eponymy of the successor of Ilšu-rabi, son of Baziya."
"IGI Im-dí-lim DUMU Šu-Lá-ba-an IGI E-me-me-i DUMU A-zu-ta-a","In the presence of Imdī-ilum, son of Šu-Labān, of Ememēʾi, son of Azutaya."
"[KIŠIB DINGIR-tap]-pá-a DUMU Id-na-a KIŠIB A-ba-ta-na-nim DUMU A-šur-UTU KIŠIB I-di-Sú-in DUMU A-šùr-DÙG","Seal of Ilī-tappā, son of Idnāya, seal of Abatanānum, son of Aššur-šamšī, seal of Iddin-Suen, son of Aššur-ṭāb."
"[x x GÍ]N KÙ.B. sa-ru-pá-am [i-ṣ]é-er A-ba-ta-na-nim [E-l]á-ma i-šu","x shekels of refined silver Abatanānum owes to Elamma."
"ITU.KAM [áb-š]a-ra-nu li-mu-um [DINGIR-šu]-GAL DUMU Ba-zi-a","Month V, eponymy of Ilšu-rabi, son of Baziya."
"[a-na x h]a-am-ša-tim [i-š]a-qal šu-ma lá iš-qú-ul [ki-m]a a-wa-at [kà]-ri-im ú-ṣa-áb","Within x weeks he shall pay; if he does not pay he will add interest in accordance with the rule of the colony."
"KIŠIB E-la-lí DUMU I-ku-nim KIŠIB Ša-lim-a-hi-im DUMU Dan-A-šur KIŠIB En-na-Sú-in DUMU Sú-kà-lí-a KIŠIB I-dí-A-šur DUMU A-šur-ma-lik ša 1 ma-na 1½ GÍN i-ṣé-er DINGIR-šu-GAL DUMU Bu-la-lí E-lá-ma i-šu","Seal of Elalī, son of Ikūnum, seal of Šalim-ahum, son of Dān-Aššur, seal of Ennam-Suen, son of Sukkalliya, seal of Iddin-Aššur, son of Aššur-mālik, that Ilšu-rabi, son of Bulālī, owes 1 mina 1½ shekel of silver to Elamma."
"iš-tù ITU.KAM á[b2-ša-ra-ni / li-mì-im] Šu-H[u2-bur] a-na ITU.3.KAM i-ša-qal","From month V, eponymy of Šu-Hubur he will pay within 3 months."
"šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ú-ṣa-áb","If he does not pay he will add (interest) in accordance with the rule of the colony."
"KÙ.B. iš-ri-iq-ma kà-ru-um Kà-ni-iš a-na šu-šál-šum i-dí-šu","He had stolen silver and the colony had convicted him to (pay) the triple."
"½ ma-na KÙ.B ṣa-ru-pá-am i-ṣé-er Šu-mì-a-bi4-a E-lá-ma i-šu","½ mina of refined silver Šumi-abiya owes to Elamma."
"iš-tù ha-muš-tim ša DINGIR-na-da 1 GÍN.TA ṣí-ib-tám i-ITU.1.KAM ú-ṣa-áb","From the week of Ilī-nādā he will add 1 shekel of silver as interest per month."
"ITU.1.KAM bé-el-tí-É.GAL-lim li-mu-um Puzur4-MUŠ","Month I, eponymy of Puzur-Nirah."
"IGI IŠKUR-pí-lá-ah IGI En-um-A-šur DUMU Puzur4-A-šur","In the presence of Adad-pilah, of Ennam-Aššur, son of Puzur-Aššur."
"4 ma-na 4 LÁ 1/6 GÍN KÙ.B. ṣa-ru-pá-am i-ṣé-er Id-na-a E-lá-ma i-šu","4 minas 3 5/6 shekels of refined silver Idnāya owes to Elamma."
"iš-tù ha-mu-uš-tim ša Šu-ki-tim ù Ú-ra-a 1¼ GÍN i-na ITU.1.KAM a-na ma-na-im ú-ṣa-áb","From the week of Šukutum and Urāya he will add as interest 1¼ shekel per mina per month."
"IGI I-lá-áb-ra-at-ba-ni IGI Ib-ni-lí","In the presence of Ilabrat-bāni, of Ibni-ilī."
"KIŠIB Lu-zi-na KIŠIB A-šur-DÙG ša hu-bu-ul A-šur-ba-ni DUMU Sú-[ku-ku]","Seal of Luzina, seal of Aššur-ṭāb, of the debt of Aššur-bāni, son of Sukkuku."
"⅔ ma-na KÙ.B. a-na e-tí-šu i-ša-qal","He will pay ⅔ mina of silver at the agreed time."
"šu-ma lá iš-qú-ul 1 ma-na-um ⅓ ma-na i-lá-ak-šu-um a-na 1 ma-na KÙ.B. Hi-na-a i-šé-e-šu","If he does not pay per mina ⅓ mina will amount for him (and) Hinnāya will sue him for 1 mina of silver."
"ITU.KAM áb-ša-ra-ni li-mu-um Ip-hu-ru-um","Month V, eponymy of Iphurum."
"2⅔ ma-na 1 1/6 GÍN KÙ.B. šál-ša-tim ša ILLAT En-na-Sú-en a-la-qé","2 minas 41 1/6 shekels of silver as one third part of Ennam-Suen's caravan I will collect;"
"5⅓ ma-na 2⅔ GÍN i-na mì-ší-it ILLAT-lá-tim a-la-qé","5 minas 22 ⅔ shekels from the holding of that caravan I will collect."
"1½ ma-na KÙ.B. i-na mì-ší-tim ⅔ ma-na 5 GÍN i-šál-ša-tim ša ELLAT A-šur-kàr-wa ù A-šur-i-mì-tí ad-ma-ku","I entitled to a share of 1½ mina of silver in the holding (and) to 45 shekels in the one-third parts of the caravan of Aššur-karwa and Aššur-imittī."
"34 TÚG ku-ta-n[i] i-na-pu-lu-nim 3 5/6 ma-na ša mì-ší-tim","For 34 kutānu-textiles they will balance me 3 5/6 minas of the holding;"
"1 5/6 ma-na 3½ GÍN ša šál-ša-tim i-na pá-nim-ma a-lá-qé","1 mina 53½ shekels of the one-third parts I will take in the first instance."
"2 TÚG ku-ta-ni Pu-šu-ke-en6 i-na-pá-lam ša ELLAT Pí-lá-ah-Ištar DUMU Ú-zu-a","2 kutānu-textiles Pūšu-kēn will balance me of the caravan of Pilah-Ištar, son of Uzua."
"a-na 4 GÚ AN.NA a-wi-it E-lá-ma 4 ma-na 15 GÍN.TA da-tum 17 ma-na AN.N[A] ik-šu-sú","On 4 talents of tin, the declared value of Elamma('s merchandise), the road-tax at 4 minas 15 shekels tin per (talent) amounted for him to 17 minas of tin."
"5 ma-na AN.N[A] a-na ANŠE me-tim Ku-na-a iš-ku-ni-a-tí","5 minas of tin Kunnāya charged us for a donkey that had died."
"⅓ ma-na 7 ½ GÍN a-na ta-ší-a-tim áš-qúl 2 ma-na ú-ku-ul-tum 15 GÍN qá-qá-dum ik-šu-sú","I paid 27 ½ shekels (of tin) as costs of transport, 2 minas (of tin) for food and fodder, the head-tax amounted for him to 15 shekels."
"ta-ší-a-at 10 TÚG.HI.A wa-at-ru-tim 1½ ma-na AN.NA il5-qé ½ ma-[n]a KÙ.B. bé-ú-la-t[ù-š]u","As costs of transport of 10 extra textiles he (the harnesser) took 1½ mina of tin, ½ mina of silver was his working capital."
"⅓ ma-na KÙ.B. ša a-na pá-ni-šu tù-šé-bi4-lu 10 GÍN.TA a-na AN.[NA] ta(ŠA)-di-in-ma [mi-ma a-nim ga-am-ru-[um]","The ⅓ mina of silver you sent him en route, was sold for tin at a rate of 10:1 and this is the total of the expenses."
"2½ ma-na AN.NA ni-pu-ul-šu-um","We made him a balance payment of 2½ minas of tin."
"a-na 5 GÍN KÙ.B. nu-ku-ra-im <<ù>> ù 1½ ma-na AN.NA ta-ší-a-tim ša il5-qé-ú da-ni-tí a-qá-bi4-šu-um","For the 5 shekels of silver that were disputed and the 1½ mina of tin he took as transport costs I will state him my harsh conditions."
"KIŠIB E-lá-ma DUMU I-dí-Sú-in KIŠIB Sú-sà-a DUMU I-sí-hi-im KIŠIB En-na-Sú-in DUMU Ku-ku-ra-nim","Seal of Elamma, son of Iddin-Suen, seal of Susāya, son of Isihum, seal of Ennam-Suen, son of Kukurānum."
"ṭup-pu-um ša a-wi-it E-lá-ma Sú-sà-a ù En-na-Sú-in","Tablet of the declared value (of the goods) of Elamma, Susaya and Ennam-Suen."
"<gap> x <gap> E]n-nam-A-šùr [a-pu-ul-šu-nu] 1½ ma-na AN.[NA] a-qá-tí ṣú-ha-ri-kà a-dí-in 10 GÍN AN.NA a-qá-tí Šu-Sú-in a-dí-in","<gap> Ennam-Aššur I paid to them; 1½ mina of tin I gave in the hands of your servant, 10 shekels of tin in the hands of Šu-Suen."
"2 ma-na AN.NA-kà im-ṭí ½ ma-na AN.NA a-na ni-is-[ha]-at AN.NA-ki-im ša ší-im I-dí-Sú-in a-pá-ni [š]u-uq-lim ni-dí-[in]","Your tin was 2 minas too little; ½ mina for (paying) the import-tax on the tin purchased by Iddin-Suen, we placed on top of the packet."
"ší-tí AN.NA-ki 53 ⅔ ma-na 7 GÍN AN.NA ku-nu-ki-ni","The rest of the tin is 53 minas and 47 shekels, of tin under our seal."
"i-na 25 TÚG šu-ru-tim 2½ TÚG a-na ni-is-ha-tim il5-qé-ú 1 GÍN KÙ.B. i-pu-lu <gap> li-wi-tum <gap>2 TÚG ku-ta-nu","Of the 25 dark textiles they took 2½ textiles as import-tax and they balanced 1 shekel of silver wrapping, +2 kutānu-textiles"
"[a-n]a E-lá-ma qí-bi-ma um-ma A-šùr-i-mi-tí-ma 5 ma-na KÙ.B. ku-nu-ki-kà Bu-ur-Sú-in ub-lam-ma a-na-ku ù A-šur-na-da nu-sà-ni-iq-ma 2 GÍN KÙ.B. im-ṭí","Say to Elamma, thus Aššur-imittī: ""5 minas of silver under your seal Būr-Suen delivered and I myself and Aššur-nādā we checked and it proved to be 2 shekels too little."
"3 ma-na KÙ.B. a-na SÍG.HI.<A> ša É kà-ri-im","We paid 3 minas of silver for wool of the colonial office."
"ni-iš-ša ILLAT-at I-na-a [qú]-ul ú Šu-Nu-nu a-na 10 TÚG.TA bi-it-qá-tum i-bi-ší-a-ma","As for the caravan of Innāya and Šu-Nunu, there occurred deficits amounting to 10 textiles per (trader?),"
"⅓ ma-na KÙ.B. i-na É kà-ri-im lá ni-ta-dí-ma ⅔ ma-na KÙ.B. <<i-na>> i-na KÙ.B.-pì-kà","so that we could not deposit ⅓ mina of silver in the colonial office, but I paid ⅔ mina of silver from your own silver."
"áš-qúl 2 ma-na 6 GÍN KÙ.B. a-na 6 ANŠE (erasure)","I paid 2 minas 6 shekels of silver for 6 donkeys."
"ni-iš-qú-ul 12 GÍN KÙ.B. ší-im KÙ.B.-pi-kà i-na li-bi-a","12 shekels of silver, the price of your silver, is still due by me."
"i-ba-ší i-na GÍN.ZA-ku-nu ša ub-lu-ni-ni 5/6 ma-na 3 GÍN a-na iš-ra-tim il5-qé-ú","Of your lapis lazuli, which they brought here, they took 53 shekels as tithe."
"[½] ma-na 2 GÍN a-na ší-mi-im a-na ša-na-ú-um il5-qé-ú","32 shekels (of lapis lazuli) they bought at a rate of 2 : 1."
"ší-im hu-sà-ri-ku-nu [ku-nu]-ki-ni Bu-ur-Sú-in (erasure)","With the price of your lapis lazuli under our seal Būr-Suen is on his way to you."
"[n]a-áš-a-ku-um i-na šál-ša-tí [ša] ILLAT I-na-a ú A-šùr-ta-ak-lá-ku <gap> ma-na 13 GÍN KÙ.B. ta-lá-qé","From the 'one third parts' of the caravan of Innāya and Aššur-taklāku you will receive minas 13 shekels of silver."
"[iš]-té-en ṣú-ha-ra-am a-na Lu-hu-sà-dí-a [tu]r4-da-ma [e]-ma-ra-am i-lá-qé-ú","Send one servant to Luhusaddiya and let them take the/a donkey."
"1 me-at 73 ku-ta-nu i-na É.GAL-lim ur-du-nim 7 TÚG ša li-wi-tim 1 TÚG ša ik-ri-bi4-a ša DUMU Šál-mah ub-lá-ni","173 kutānu-textiles (that) came down from the palace, 7 textiles as wrapping, 1 textile of my temple-fund, is what Šalim-ahum's son brought me."
"10 TÚG ša i-ma-ṣa-ar-tim ú-šé-ṣí-a-ni ú-ra-dí 6 TÚG ša A-šur-mu-ta-pí-il5 ub-lá-ni (erasures)","I added 10 textiles that I took out of the strong room (and) 6 textiles that Aššur-mūtappil brought me."
"ŠU.NIGIN2 me-at 93[+4 TÚG]","In all 19."
"ŠÀ.BA 7 TÚG ku-[ta-ni] La-ma-sú-[tum] ta-al-q[é] 3 TÚG Šu-Ku-bu-um il5-qé","Thereof: 7 kutānu-textiles Lamassutum took, 3 textiles Šu-Kūbum took,"
"3 TÚG ša be-<ú>-lá-at Puzur4-A-na 3 TÚG ša be-ú-lá-at A-šur-ba-ni 2 TÚG A-šur-mu-ta-pí-il5 il5-qé","3 textiles of the working capital of Puzur-Anna, 3 textiles of the working capital of Aššur-bāni, 2 textiles Aššur-mūtappil took."
"ší-tí TÚG.HI.A 1 me-at 80 TÚG","The rest of the textiles: 180 pieces."
"1 GÚ LÁ 2 ma-na AN.NA 24 ma-ku-hu 1 TÚG pi-ri-kà-num 2 ANŠE ṣa-lá-mu i-a-ú-tum","58 minas of tin, 24 makūhu-textiles, 1 pirikannu-textile, 2 black donkeys belonging to me;"
"21 ma-ku-hu 1 ANŠE ša I-dí-a-bi4-im","21 makūhu-textiles, 1 donkey of Iddin-abum;"
"1 na-ru-qám 5 ku-ta-nu ša Šu-Ku-bi4-im","1 bag with 5 kutānu-textiles of Šu-Kūbum;"
"6 ma-na 15 GÍN URUDU 7 GÍN AN.NA a-qá-tí UT[U]-ub-lá-am a-na A-lá-hi-im ú-bi4-il5","6 minas 15 shekels of copper (and) 7 shekels of tin for his use Šamaš-ublam, brought to Ali-ahum."
"[2½] TÚG a-na ší-mì-im [i-na É.GAL-lim] [i]l5-qé-ú 1½ GÍN K[Ù.B. i-na-pu-lu-šum]","textiles they took for sale, 1½ shekel of silver."
"[1]½ GÍN KÙ.B. hu-lu-q[á-ú (x x x)] [i]k-šu-ud","½ shekel of silver the losses <gap> amounted."
"ší-im 2½ [TÚG] ku-ta-ní ½ ma-na K]Ù.B. A-šur-ṣú-lu-li a-na Ku-ni-lim: i-dí-in","The price of 2½ kutānu-textiles, ½ mina of silver, Aššur-ṣulūli gave to Kūn-ilum."
"a-ha-ma 6 GÍN LÁ 15 ŠE KÙ.B. ša šál-ša-tí-šu A-šur-ṣú-lu-li il5-qé","Separately, 5 11/12 shekels of silver of his one-third-share Aššur-ṣulūli took."
"ŠÀ.BA 2 GÚ 10 ma-na AN.NA ku-nu-ki ša a-lim 4 TÚG šu-r[u-tim] li-wi-sú 12 TÚG ku-t[a-ni] 2 ANŠE.HI.A: ṣa-lá-me ù a-ha-ma 1 ku-ta-nu-um ša Ku-ú-ku","Thereof: 2 talents 10 minas of tin under seals applied in the City, 4 dark textiles, its wrapping, 12 kutānu-textiles, 2 black donkeys, and separately one kutānu-textile of Ku'uku."
"mì-ma a-nim Ku-ú-ku a-na šé-er Hi-na-a ú-bi-il5","All this Ku'uku brought to Hinnāya."
"i-na 1 GÚ AN.NA ù it-ra-tí-šu ša a-na-kam áp-qí-dam <<ù>> 6 ma-na AN.NA a-ni-is-ha-[tim ša]","Of the (remaining) 1 talent of tin with its surplus that I entrusted here <<and>>, 6 minas were (paid) as import-tax,"
"3 GÚ AN.NA 34 ma-na ša-du-ú-tum 12½ ma-na AN.NA Ku-ni-[lúm] il5-qé","3 talents of tin the šaddu'utu-tax amounted to 34 minas of tin, 12½ minas of tin Kūn-ilum took,"
"8½ ma-na 1 GÍN I-li-a-lúm il5-qé 3 ma-na LÁ 10 GÍN i-na mu-ṭá AN.NA [qá]-tim AN.NA a-na qá-tí Ku-ú-ku ni-dí-in","8 minas 31 shekels Ilī-ālum took, 2 5/6 minas of tin from the deficiency of the loose tin we handed over to Ku'uku."
"A-šur-ṣú-lu-li ki-ma Hi-na-a i-zi-[iz]","Aššur-ṣulūli represented Hinnāya."
"3 GÚ 15 ma-na AN.NA ku-nu-ku 4 TÚG šu-ru-tum li-wi-sú 17 TÚG ku-ta-nu 16⅔ ma-na AN.NA-ak qá-tim 2 ANŠE ṣa-lá-mu ŠU.NIGIN2 4 GÚ 18 ma-na AN.NA a-wi-it I-li-a","3 talents 15 minas of tin under seals, 4 dark textiles, its wrapping, 17 kutānu-textiles, 16⅔ minas of loose tin, 2 black donkeys - in all 4 talents 18 minas of tin, the value of Iliya('s shipment)."
"iš-tù a-lim a-dí Kà-ni-iš 1 GÚ-tám 4 ma-na 6 1/4 GÍN.TA da-tum ik-šu-dam 15 GÍN.TA qá-qá-da-tú-um","From the City until Kanesh the toll-and-fees amounted to 4 minas 6¼ shekels per talent, the head-tax to 15 shekels per person."
"17 5/6 ma-na 4 GÍN áš-qúl","I paid 17 minas 54 shekels."
"16⅔ GÍN mu-ṭá: AN.NA-ak qá-tim","16⅔ shekels shortage of hand tin."
"4 ša bi-lá-tim iš-tù Tí-mi-il5-ki-a: a-dí Hu-ra-ma ½ ma-na 6 GÍN.TA 1⅔ ma-na 4 GÍN áš-qúl","For 4 porters from Timilkiya until Hurama at 26 shekels each I paid 1 mina 44 shekels (of tin)."
"3⅔ ma-na 5 GÍN ú-kúl-ti 2 ANŠE ù sá-ri-dim ù na-ab-ri-ta-šu-nu","3 minas 45 shekels (of tin) food for 2 donkeys and a donkey-driver and for their stay in a paddock."
"ANŠE-re: i-sí-kà-tím it-ru-ú-ma a-pá-ṭá-ri-šu-nu 5/6 ma-na AN.NA áš-qúl","They took the donkeys away during the campaign and I paid 50 shekels of tin to redeem them."
"½ ma-na 6 GÍN AN.NA a-na 1 TÚG ša Ku-ku-ú 5 GÍN a-na šé-[n]é-šu","36 shekels of tin for 1 textile of Kukū, 5 shekels for his sandals."
"ŠUNIGIN2 [24] ma-na 10 5/6 GÍN iš-tí","In all 24 minas 10 5/6 shekels."
"16 5/6 ma-na AN.NA-ak qá-tim gám-ru 8½ ma-na ⅔ GÍN AN.NA i-na-pá-al","After the 16 5/6 minas of hand tin had been spent 8 minas 30 ⅔ shekels of tin will be balanced (to him)."
"i-na 17 TÚG ku-ta-ni-šu 1 TÚG a-na ni-is-ha-tim il5-qé-ú 2½ GÍN KÙ.B. i-pu-lu-šu-um 1½ TÚG ù 1½ GÍN KÙ.B. iš-ra-tú-šu","Of the 17 kutānu-textiles they took 1 as import-tax, they balanced him 2½ shekels of silver; 1½ textile and 1½ shekel of silver (balanced) are his tithe."
"i-hu-lu-qá-e 1½ GÍN KÙ.B. ik-šu-sú","His share in the losses amounted to 1½ shekels of silver."
"ša 2½ TÚG ša É.GAL-lúm il5-qé-ú ½ ma-na (eras.) KÙ.B. A-šur-ṣú-lu-li il5-qé","For the 2½ textiles which the palace took, Aššur-ṣulūlī received ½ mina of silver."
"a-ha-ma 6 GÍN LÁ 15 ŠE KÙ.B. ša šál-ša-tí-šu A-šur-ṣú-lu-li-ma il5-qé","Separately Aššur-ṣulūlī took 5 11/12 shekels of silver as his one-third-share."
"ší-tí TÚG.HI-tí-šu 12 TÚG 3 GÚ 15 ma-na AN.NA ku-nu-ki-kà 4 TÚG šu-ru-tum: li-wi-sú 2 ANŠE.HI.A: ṣa-lá-me ù ú-nu-sú-nu","The rest of his textiles, 12 pieces, 3 talents 15 minas of tin with your seals, 4 dark textiles, its wrapping, 2 black donkeys with their harness,"
"a-na A-šur-ṣú-lu-li áp-qí-id IGI Šu-Be-lim DUMU A-mur-DINGIR IGI Puzur4-[A-šur DUMU I-tur4-DINGIR","I entrusted to Aššur-ṣulūlī in the presence of Šu-Bēlum, son of Amur-ilī, (and) of Puzur-Aššur, son of Itūr-ilī."
"a-na E-lá-ma qí-bí-ma um-ma Lá-qé-pu-um ù Šu-A-šur-<ma> 72 ku-ta-nu ku-wa-ú-tum 26 ku-ta-nu ša DAM.GÀR 1 ku-ta-num ša ik-ri-bi4-kà 1 ku-ta-num ša A-ta-a-a ŠUNIGIN2 1 me-at ku-ta-nu ša šé-ep A-šur-mu-ta-pí-il5","To Elamma say, thus Lā-qēpum and Šu-Aššur: ""72 kutānu-textiles belonging to you, 26 kutānū belonging to the tamkārum, 1 kutānum of your ikribū, 1 kutānum of Atāya - in all 100 kutānū shipped under Aššur-mūtappil;"
"71 ku-ta-nu ša šé-ep DUMU Ú-ṣa-ri-a 31 ku-ta-nu ša šé-ep A-šur-lá-ma-sí 3 ku-ta-nu a-ha-ma: pá-ni-ú-tum 1 ku-ta-num ša Ha-ti-a ŠUNIGIN2 2 me-at 26 ku-ta-nu","71 kutānū shipped under Uṣāriya's son; 31 kutānū shipped under Aššur-lamassī; separately 3 kutānū shipped earlier; 1 kutānum of Hatiya - in all 226 kutānu-textiles."
"ŠÀ.BA 1 me-at 81 ku-ta-ni 25 ša A-ki-dí-e Zi-kur-IŠKUR: ir-de-a-ku-um","Thereof 181 kutānū and 25 Akkadian textiles Zikur-Adad led to you."
"3½ GÍN 15 ŠE KÙ.B. a-na sà-he-er-tim áš-qúl 1 ta-ku-uš-ta-am ù 2 [šu-ri-in]: pá-ni-[ú-tim] [L]a2-ma-s[à-tu]m tal-qé","I paid 3 7/12 shekels for small wares, 1 Takuštaean textile and 2 dark textiles (sent) earlier Lamassutum(?) took."
"2 GÚ A[N.NA] ku-nu-ku ša a-lim ša DAM.GÀR 3 GÚ ku-wa-um 2 šu-uq-lá-a[n] ša Ar-ta-ma nu-sà-ni-iq-ší-na-ma 5 ma-na im-ṭí-a","2 talents of tin provided with seals in the City belonging to the tamkārum, 3 talents belonging to you, 2 packets of Artama – we checked them and they proved to contain 5 minas too little."
"[1 š]u-uq-lam ni-ip-ṭur4-ma [x+ ½] ma-na 4 GÍN a-na DUMU Da-da-nim ù DUMU Ú-ṣa-ri-a né-pu-ul: iš-tù AN.NA qá-tim ù ⅔ ma-na KÙ.B. ša a-pá-ni-šu-nu nu-šé-bi-lu gám-ru","We opened one packet and we balanced mina 4 shekels to the son of Dadānum and the son of Uṣāriya after the tin for expenses and the ⅔ mina of silver we had sent them en route had been spent."
"1 šu-uq-lam a-šu-mí ni-is-ha-tim É kà-ri-im ú-kà-lu","One packet they detained in the colonial office because of the import-tax."
"DUB.SAR šu-uq-la-tim wa-at(UD)-ra-tim: il5-pu-ut-kà-ma a-dí-ni a-wa-tum lá gam-ra","The scribe booked you for the additional packets, but the affair has not yet been settled."
"6 šu-uq-lá-tum lu ku-nu-ku-ni lu ša a-lim 36 ku-ta-ni 32 šu-ru-tim qá-du-um: ša li-wi-tim 6 ANŠE.HI.A ṣa-lá-me: A-šur-i-mi-tí ù Hu-zi-a: i-ra-de-ú-ni-ku-um","Six packets with either our own seal or that of the City, 36 kutānu- and 32 dark textiles, including those for wrapping, 6 black donkeys Aššur-imittī and Huziya are leading towards you."
"1 ma-na AN.NA i-šu-uq-lim 3 LÁ ¼ GÍN KÙ.B. a-sà-he-er-tim a-na A-šur-i-mi-tí ù Hu-zi-a: ni-dí-in","1 mina of tin (taken) from a packet (and) 2¾ shekels of silver for small wares we gave to Aššur-imittī and Huziya."
"10 ku-ta-ni 8 šu-ru-tim a-ni-kà-sí-kà: ni-dí: i-na šu-uq-lá-tim a-ni-a-tim 2 šu-uq-lá-an: ša š[é]-ep A-šur-la1-ma-[sí]","10 kutānū and 8 dark textiles we deposited on your account. From these packets 2 are shipped under the responsibility of Aššur-lamassī."
"a-na [x x x u x x x] qi-bi4-m[a um-ma x x x x] Pu-šu-ki-[in x x x x] ù A-šur-r[e-ṣí-ma] 51 ma-na KÙ.[B. ša É DAM.GÀR ni-il5-qé-a-ku-n[u-tí-ni 4 ma-na] 15 GÍN KÙ.B. ṣ[i-i]b-tum","To say, thus , Pūšu-kēn, , and Aššur-rēṣī: ""The interest on the 51 minas of silver we borrowed for you at a merchant's house amounted to 4 minas and 15 shekels of silver."
"i-li-ik ŠUNIGIN2 55 ma-na 15 GÍN qá-dum ṣí-ib-tí-šu","Total: 55 minas 15 shekels, including its interest."
"46½ ma-na KÙ.B. A-bu-ša-lim ub-lam 12 GÍN i-na i-šé-ra-tim im-ṭí 18 GÍN a-ma-sú-hu-tim ni-ik-bu-ús 46 ma-na KÙ.B. iz-ku-am","Abu-šalim has brought 46½ minas of silver, it became 12 shekels less by / than the išerātum, 18 shekels we deducted for dirtiness, so that 46 minas of silver became available."
"ta-áš-pu-ra-nim um-ma a-tù-nu-ma 4 ma-na KÙ.B. E-lá-ma ha-bu-ul","You wrote us as follows: 'Elamma has a debt of 4 minas of silver'."
"3 ma-na KÙ.B. ša ha-bu-lá-tú-nu-ni i-li-bi4-šu ik-lá [1] ma-na KÙ.B. iš-qú-ul","He retained in his possession 3 minas of silver that you owe (him and) therefore he paid 1 mina of silver."
"i-té-er-tí-ku-nu um-ma a-tù-nu-ma 4 ma-na KÙ.B. Kàr-wa-a li-iš-qú-ul 3 ma-na iš-qú-ul 1 ma-na I-dí-a-bu-um iš-qú-ul","In your instruction you write: 'Let Karwāya pay 4 minas of silver' - he paid 3 minas; 1 mina Iddin-abum paid."
"1 ma-na A-šur-iš-ta-kál ša-qá-lam lá i-mu-a","Aššuriš-tikal refused to pay 1 mina of silver."
"4 ma-na 15 GÍN KÙ.B.-ku-nu ba-tí-iq É né-ru-ub-ma 4 ma-na 15 GÍN-ku-nu","Since your own silver is 4 minas 15 shekels short, we entered (a money-lender's) house (to borrow it) and your 4 minas 15 shekels,"
"a-na 5 ma-na 10½ GÍN KÙ.B. qá-dum ṣí-ib-tí-šu i-tú-ar iš-tù ha-muš-tim ša MAR.TU-ba-ni ù A-š[ur-n]a-[da] ITI.KAM a-lá-a-t[im ú2]","together with the interest on it have now become 5 minas 10½ shekels of silver reckoning from the week eponymy of Amurrum-bāni and Aššur-nādā, in month XII."
"ṭup-pi-ni š[a 51 ma-n]a KÙ.B. ú ṣí-ba-ti-šu ṭu[p-pi-ni-ma] 5 [m]a-na 10½ GÍN KÙ.B. [ú ṣí-ba]-sú šé-bi4-[lá-nim ù] ṭup-pi-ni li-[m][u-ut x x x x] <gap> <gap>","Therefore* our tablet of 51 minas of silver plus interest on it remains our tablet. Send the 5 minas 10½ shekels of silver plus interest on it, so that our tablet can be cancelled <gap> <gap>"
"a-ba-ú-ni a-hu-ni a-tù-nu ih-da-ma KÙ.B. šé-bi4-lá-nim ú KÙ.B. lá i-ma-ú ṭup-pi-ni lá ú-kà-lu i-í[d]","Please, our fathers and brothers, take care to send the silver and let the silver not get much and let them not retain our tablet!"""
"um-ma En-nam-A-šur-ma ù Da-dí-a-ma a-na E-lá-ma qí-bi4-ma 30 ma-na KÙ.B. ša A-šur-SIPAD ub-lá-ni ni-is-ha-sú DIRIG","Thus Ennam-Aššur and Dadiya, say to Elamma: ""30 minas of silver that Aššur-rē'ī brought here, its excise added, (thereof):"
